  StdGumVar, Herhaaltijd, Afvoer [m3/s]
      3.066,      21.958,   10650.000
      3.098,      22.651,   10700.000
      3.130,      23.368,   10750.000
      3.161,      24.109,   10800.000
      3.193,      24.876,   10850.000
      3.225,      25.668,   10900.000
      3.257,      26.485,   10950.000
      3.289,      27.330,   11000.000
      3.321,      28.201,   11050.000
      3.353,      29.101,   11100.000
      3.385,      30.030,   11150.000
      3.417,      30.990,   11200.000
      3.449,      31.980,   11250.000
      3.481,      33.004,   11300.000
      3.513,      34.062,   11350.000
      3.545,      35.155,   11400.000
      3.578,      36.287,   11450.000
      3.610,      37.459,   11500.000
      3.642,      38.672,   11550.000
      3.674,      39.930,   11600.000
      3.707,      41.235,   11650.000
      3.740,      42.590,   11700.000
      3.773,      43.998,   11750.000
      3.806,      45.461,   11800.000
      3.839,      46.983,   11850.000
      3.873,      48.568,   11900.000
      3.906,      50.219,   11950.000
      3.940,      51.941,   12000.000
      3.975,      53.737,   12050.000
      4.009,      55.612,   12100.000
      4.044,      57.571,   12150.000
      4.080,      59.620,   12200.000
      4.115,      61.763,   12250.000
      4.151,      64.008,   12300.000
      4.188,      66.361,   12350.000
      4.224,      68.831,   12400.000
      4.262,      71.424,   12450.000
      4.299,      74.151,   12500.000
      4.338,      77.021,   12550.000
      4.376,      80.046,   12600.000
      4.416,      83.238,   12650.000
      4.456,      86.610,   12700.000
      4.496,      90.179,   12750.000
      4.538,      93.961,   12800.000
      4.580,      97.973,   12850.000
      4.622,     102.238,   12900.000
      4.666,     106.776,   12950.000
      4.711,     111.614,   13000.000
      4.756,     116.779,   13050.000
      4.802,     122.301,   13100.000
      4.850,     128.215,   13150.000
      4.898,     134.558,   13200.000
      4.948,     141.371,   13250.000
      4.999,     148.701,   13300.000
      5.050,     156.598,   13350.000
      5.104,     165.121,   13400.000
      5.158,     174.331,   13450.000
      5.214,     184.299,   13500.000
      5.271,     195.103,   13550.000
      5.329,     206.830,   13600.000
      5.389,     219.576,   13650.000
      5.451,     233.451,   13700.000
      5.514,     248.574,   13750.000
      5.578,     265.079,   13800.000
      5.644,     283.117,   13850.000
      5.712,     302.855,   13900.000
      5.781,     324.479,   13950.000
      5.851,     348.200,   14000.000
      5.924,     374.249,   14050.000
      5.997,     402.888,   14100.000
      6.073,     434.407,   14150.000
      6.150,     469.130,   14200.000
      6.228,     507.418,   14250.000
      6.308,     549.674,   14300.000
      6.390,     596.346,   14350.000
      6.473,     647.931,   14400.000
      6.557,     704.983,   14450.000
      6.643,     768.112,   14500.000
      6.730,     837.996,   14550.000
      6.819,     915.381,   14600.000
      6.908,    1001.089,   14650.000
      6.999,    1096.020,   14700.000
      7.091,    1201.163,   14750.000
      7.183,    1317.593,   14800.000
      7.277,    1446.481,   14850.000
      7.371,    1589.094,   14900.000
      7.465,    1746.800,   14950.000
      7.560,    1921.068,   15000.000
      7.656,    2113.472,   15050.000
      7.752,    2325.686,   15100.000
      7.847,    2559.489,   15150.000
      7.943,    2816.762,   15200.000
      8.039,    3099.482,   15250.000
      8.134,    3409.725,   15300.000
      8.229,    3749.663,   15350.000
      8.324,    4121.558,   15400.000
      8.418,    4527.769,   15450.000
      8.511,    4970.748,   15500.000
      8.604,    5453.045,   15550.000
      8.696,    5977.315,   15600.000
      8.787,    6546.329,   15650.000
      8.877,    7162.982,   15700.000
      8.966,    7830.316,   15750.000
      9.054,    8551.537,   15800.000
      9.141,    9330.044,   15850.000
      9.227,   10169.453,   15900.000
      9.312,   11073.636,   15950.000
      9.397,   12046.755,   16000.000
      9.480,   13093.304,   16050.000
      9.562,   14218.154,   16100.000
      9.644,   15426.607,   16150.000
      9.725,   16724.441,   16200.000
      9.805,   18117.976,   16250.000
      9.884,   19614.132,   16300.000
      9.963,   21220.499,   16350.000
     10.041,   22945.411,   16400.000
     10.118,   24798.025,   16450.000
     10.196,   26788.412,   16500.000
     10.273,   28927.652,   16550.000
     10.349,   31227.940,   16600.000
     10.425,   33702.706,   16650.000
     10.501,   36366.744,   16700.000
     10.577,   39236.361,   16750.000
     10.653,   42329.533,   16800.000
     10.729,   45666.088,   16850.000
     10.805,   49267.908,   16900.000
     10.881,   53159.154,   16950.000
     10.957,   57366.516,   17000.000
     11.034,   61919.499,   17050.000
     11.110,   66850.742,   17100.000
     11.187,   72196.371,   17150.000
     11.264,   77996.404,   17200.000
     11.342,   84295.208,   17250.000
     11.420,   91142.006,   17300.000
     11.499,   98591.457,   17350.000
     11.578,  106704.312,   17400.000
     11.657,  115548.149,   17450.000
     11.738,  125198.215,   17500.000
     11.818,  135738.377,   17550.000
     11.900,  147262.197,   17600.000
     11.982,  159874.158,   17650.000
     12.065,  173691.065,   17700.000
     12.149,  188843.623,   17750.000
     12.233,  205478.255,   17800.000
     12.318,  223759.164,   17850.000
     12.404,  243870.695,   17900.000
     12.491,  266020.028,   17950.000
     12.579,  290440.278,   18000.000
     12.668,  317394.027,   18050.000
     12.758,  347177.397,   18100.000
     12.848,  380124.715,   18150.000
     12.940,  416613.887,   18200.000
     13.033,  457072.587,   18250.000
     13.126,  501985.389,   18300.000
     13.221,  551902.001,   18350.000
     13.317,  607446.790,   18400.000
     13.414,  669329.794,   18450.000
     13.512,  738359.494,   18500.000
     13.612,  815457.616,   18550.000
     13.712,  901676.351,   18600.000
     13.814,  998218.363,   18650.000
     13.917, 1106460.097,   18700.000
     14.021, 1227978.979,   18750.000
     14.126, 1364585.161,   18800.000
     14.233, 1518358.635,   18850.000
     14.341, 1691692.738,   18900.000
     14.451, 1887345.097,   18950.000
     14.561, 2108497.477,   19000.000
     14.674, 2358826.194,   19050.000
     14.787, 2642584.894,   19100.000
     14.902, 2964702.330,   19150.000
     15.019, 3330897.617,   19200.000
     15.137, 3747816.593,   19250.000
     15.256, 4223193.455,   19300.000
     15.377, 4766042.130,   19350.000
     15.499, 5386883.577,   19400.000
     15.623, 6098016.474,   19450.000
     15.749, 6913839.277,   19500.000
     15.876, 7851234.257,   19550.000
     16.005, 8930026.988,   19600.000
     16.135, 10173535.101,   19650.000
     16.267, 11609226.878,   19700.000
     16.401, 13269510.528,   19750.000
     16.536, 15192685.006,   19800.000
     16.673, 17424081.231,   19850.000
     16.812, 20017441.868,   19900.000
     16.953, 23036585.895,   19950.000
     17.095, 26557421.834,   20000.000
     17.239, 30670389.260,   20050.000
     17.385, 35483419.557,   20100.000
     17.532, 41125536.211,   20150.000
     17.682, 47751234.364,   20200.000
     17.833, 55545842.318,   20250.000
     17.986, 64732033.454,   20300.000
     18.141, 75577851.337,   20350.000
     18.297, 88406494.638,   20400.000
     18.456, 103608343.941,   20450.000
     18.617, 121655831.943,   20500.000
     18.779, 143121671.780,   20550.000
     18.944, 168701404.104,   20600.000
     19.110, 199241374.440,   20650.000
     19.278, 235773256.081,   20700.000
     19.449, 279556962.599,   20750.000
     19.621, 332134165.914,   20800.000
     19.795, 395395066.514,   20850.000
     19.972, 471661962.094,   20900.000
     20.150, 563791659.131,   20950.000
     20.331, 675308600.262,   21000.000
     20.513, 810568716.046,   21050.000
     20.698, 974964126.156,   21100.000
     20.885, 1175188027.196,   21150.000
     21.074, 1419560703.158,   21200.000
     21.265, 1718453333.632,   21250.000
     21.458, 2084820301.294,   21300.000
     21.653, 2534865022.125,   21350.000
     21.851, 3088936302.083,   21400.000
     22.051, 3772579376.439,   21450.000
     22.253, 4618048729.022,   21500.000
     22.458, 5666052656.413,   21550.000
     22.665, 6968129465.508,   21600.000
     22.874, 8589828097.320,   21650.000
     23.085, 10614174688.388,   21700.000
     23.300, 13147660499.126,   21750.000
     23.516, 16326529261.382,   21800.000
     23.735, 20323607433.264,   21850.000
     23.957, 25365532855.174,   21900.000
     24.181, 31739965870.657,   21950.000
     24.408, 39820505558.217,   22000.000
     24.637, 50092314499.260,   22050.000
     24.869, 63186245210.389,   22100.000
     25.104, 79928292895.981,   22150.000
     25.342, 101382189621.595,   22200.000
     25.583, 128983836274.788,   22250.000
     25.827, 164581187961.208,   22300.000
     26.073, 210591271065.465,   22350.000
     26.323, 270291659306.836,   22400.000
     26.576, 348198517656.602,   22450.000
     26.831, 449416188740.694,   22500.000
     27.091, 582990243025.307,   22550.000
     27.354, 757671538925.050,   22600.000
     27.620, 988607096338.601,   22650.000
     27.889, 1294323790018.823,   22700.000
     28.160, 1697869793542.129,   22750.000
     28.431, 2225648444462.810,   22800.000
     28.702, 2917784015141.235,   22850.000
     28.973, 3824713059338.001,   22900.000
     29.239, 4992904243204.541,   22950.000
