Scenario;b24000;maxQ_14199_maxV_28.8_year_3345;maxQ_14210_maxV_18.1_year_2288;maxQ_14256_maxV_11.5_year_3236;maxQ_14434_maxV_14.1_year_3126;maxQ_14450_maxV_23.4_year_3048;maxQ_14567_maxV_18.9_year_7445;maxQ_14594_maxV_23.3_year_9987;maxQ_14756_maxV_14.5_year_7191;maxQ_14808_maxV_23.1_year_9093;maxQ_14848_maxV_23.6_year_7451;maxQ_14995_maxV_16.0_year_9555;maxQ_15047_maxV_19.1_year_3884;maxQ_15162_maxV_16.9_year_2826;maxQ_15199_maxV_28.2_year_5313;maxQ_15333_maxV_27.9_year_3710;maxQ_15408_maxV_22.6_year_9875;maxQ_15494_maxV_26.5_year_8336;maxQ_15579_maxV_18.8_year_2831;maxQ_15690_maxV_25.2_year_2944;maxQ_15769_maxV_17.6_year_2168;maxQ_15936_maxV_18.6_year_8232;maxQ_16210_maxV_23.0_year_3284;maxQ_16252_maxV_16.7_year_3423;maxQ_16499_maxV_22.5_year_6390;maxQ_16537_maxV_25.4_year_8516;maxQ_16656_maxV_16.8_year_6253;maxQ_16675_maxV_27.6_year_7706;maxQ_16808_maxV_19.1_year_9324;maxQ_16872_maxV_27.6_year_4891;maxQ_16957_maxV_18.7_year_3236;maxQ_17066_maxV_34.8_year_7593;maxQ_17075_maxV_21.0_year_9681;maxQ_17176_maxV_38.4_year_2560;maxQ_17271_maxV_22.3_year_8813;maxQ_17332_maxV_27.1_year_8632;maxQ_17415_maxV_16.6_year_6576;maxQ_17456_maxV_24.8_year_3843;maxQ_17523_maxV_21.0_year_5296;maxQ_17576_maxV_26.9_year_6510;maxQ_18567_maxV_30.2_year_3147;maxQ_18802_maxV_21.1_year_8276;maxQ_18861_maxV_25.7_year_9470;maxQ_19050_maxV_26.9_year_3672;maxQ_20495_maxV_21.6_year_7971;maxQ_21124_maxV_26.2_year_9605;s14000;s16000;s18000;s20000;s30000
Sum10;18237.77539;15309.11719;15817.80566;13821.02148;14848.35547;14562.33008;14871.7998;15404.81445;14583.50879;14762.71289;15013.50879;15559.82129;15594.99219;14549.64063;15643.61914;15586.87988;15528.03711;15515.79102;16140.52539;16196.70801;15412.64941;15076.65918;16040.5918;15597.41309;16035.4082;15741.3457;15573.9834;16363.94336;16177.50977;15520.97266;15915.66016;16888.7168;15745.20996;16455.20703;15618.88672;16961.93164;15877.16992;16206.25879;15783.79199;16441.89844;17045.20508;16938.1875;17148.61133;16924.00586;16746.74609;16677.06055;14439.125;15124.3252;16751.61133;17175.3418;18423.81055
Sum11;17102.11133;15195.60352;15709.2168;13410.34961;14682.5332;14512.72852;14781.53809;15394.41309;14493.90137;14710.72559;14947.51563;15411.14258;15514.77344;14467.26758;15492.83008;15518.18359;15432.05469;15523.85449;15963.57813;16039.55273;15262.8584;14971.30176;16030.17676;15508.61426;15977.55273;15763.50879;15469.74219;16335.85742;16046.41211;15675.08398;15901.2793;16508.9668;15885.19629;16313.25977;15630.22949;16543.4082;15842.34375;16196.36426;15976.74316;16236.66602;16583.70508;16498.6582;16639.27734;16512.60352;16399.29297;16376.29492;14190.8457;15010.4375;16398.08789;16625.99609;17275.69727
Sum12;15202.6543;14167.51172;14236.60938;12400.21875;13168.79492;13530.37988;13485.21875;14136.13867;13001.48926;13808.52734;13859.67773;14009.24902;14012.01367;13164.2793;14181.90332;14210.66992;14190.68652;14345.91113;14373.80566;14506.86328;14019.31836;13822.03711;14431.60645;14046.53711;14422.19824;14271.81152;14022.7793;14810.77832;14389.7627;14740.16504;14259.53027;14837.71973;14194.54102;14816.34473;14059.91602;14780.00684;14230.08203;14730.0332;14288.83594;14733.60938;14908.30078;14808.66504;14824.32129;14837.68066;14470.93457;14757.59277;12924.05078;13786.83594;14481.28027;14906.30371;15410.58496
Sum13;15295.90039;14187.10352;14237.10059;12408.71875;13185.7041;13551.60547;13497.97266;14149.39355;13008.93652;13841.24414;13888.48438;14017.125;14012.29102;13191.01367;14184.65527;14225.74512;14188.13477;14102.55371;14387.41113;14521.83789;14037.78516;13835.2041;14418.58594;14051.55078;14432.46484;14255.4502;14034.03223;15057.18652;14397.2832;14831.74512;14244.37109;15101.4209;14166.69629;15059.83203;14042.72168;15045.01953;14212.7334;14658.23633;14279.67969;14661.88965;15137.65527;15056.06543;15113.46484;15095.30469;14479.68262;14895.9375;12896.00684;13796.27148;14490.93359;15138.5791;15511.38281
Sum14;15681.4209;14228.88184;14279.52734;12384.77734;13241.51172;13559.44824;13516.85645;14191.90039;13071.54688;13882.49023;13937.14941;14057.53125;14060.55371;13226.13184;14223.23926;14255.92383;14227.34668;14151.04004;14411.00391;14545.1748;14064.43555;13874.92773;14451.77441;14078.44531;14463.28223;14300.79395;14064.24805;15307.19629;14427.38965;14836.2041;14288.63184;15450.50586;14221.0332;15170.37598;14083.45801;15079.55664;14257.54492;14563.5791;14325.9043;14660.125;15500.89844;15182.29395;15458.60352;15420.24707;14522.42969;14946.08301;12925.86816;13853.65625;14524.42578;15513.96387;15779.7666
Sum15;18802.97852;15558.25977;16550.33594;13983.00586;15508.61621;15161.17188;15554.91992;16136.28223;15322.75195;15322.15723;15582.88281;16289.26758;16359.13477;15276.93555;16203.66211;16220.33789;16142.66309;16177.85742;16868.88867;17001.125;16020.65332;15767.375;16971.26367;16463.21484;16968.82422;16594.42969;16469.75195;17106.85547;17181.58984;16333.54785;16899.89453;17333.0332;16656.91211;17066.37891;16479.37695;17607.81445;16821.20313;16856.2168;16719.41797;16985.53125;17967.5957;17835.2207;18199.08008;17741.21875;17611.63477;17542.60938;14812.38965;15869.85352;17479.04688;18307.25781;18912.24609
Sum16;17069.2793;14708.06543;15081.99414;13090.70313;14042.78711;14104.14551;14106.72559;14803.83301;13817.7832;14202.41895;14289.52441;14836.71387;14809.90723;13780.30371;15438.41602;15329.6582;15244.00098;15357.74609;15728.53223;15840.5293;15016.62695;14759.50879;15880.28418;15245.48633;15769.24316;15603.61426;15178.85352;16003.9082;15741.58008;15562.30078;15687.4248;16272.34082;15633.65332;16004.50977;15360.60645;16246.15332;15598.96582;15885.70508;15722.14746;15883.71191;16543.39063;16158.4541;16339.37891;16212.63184;16028.7168;16014.82617;13629.29785;14500.80664;16052.9082;16655.31055;17197.10938
Sum17;17663.07227;15020.29395;15506.52246;13520.25293;14484.70801;14256.99707;14612.44043;15210.99414;14288.13086;14595.63086;14802.2793;15204.12695;15325.26367;14309.30957;15283.42773;15320.83203;15201.73145;15508.58301;15875.05371;16045.55078;15056.49902;14817.16504;16166.66309;15463.28809;15950.12793;15683.27148;15418.83398;16460.55273;16056.88965;15863.31152;16095.84277;16804.2832;16060.89453;16428.25391;15684.96289;16813.10938;15952.60645;16255.4541;16063.39551;16346.22949;16913.14453;16789.11523;16986.14258;16811.35547;16602.14258;16577.21484;14098.57031;14856.88965;16600.97656;16967.72852;17818.63281
Sum18;18388.08398;15556.56152;16579.23438;14025.41504;15554.90723;15182.80469;15553.95605;16216.43945;15305.26367;15303.68066;15559.92969;16479.85156;16475.06836;15291.41016;16241.625;16381.64648;16346.45508;16144.125;16661.23047;16670.11914;16205.6543;15953.2627;16663.97266;16441.41602;16655.11523;16504.66797;16465.40625;16629.86523;16643.38477;16251.34668;16636.87109;16667.0625;16633.00391;16656.02734;16459.3418;16671.99023;16634.10547;16637.93359;16632.80078;16640.21484;16639.75195;16639.66211;16806.49023;16663.16797;16637.39844;16618.78125;14851.82324;16056.24902;16613.4668;17157.85938;19696.58984
Sum19;14928.90723;14038.82324;14092.92969;12293.06641;13116.96582;13417.98145;13370.13867;14007.9209;12976.85156;13689.7373;13767.38574;13888.2334;13936.70117;13045.74121;14213.86426;14053.62109;14041.22461;14425.14941;14224.3916;14360.78125;13872.70703;13691.38672;14446.29883;13887.48242;14262.51855;14109.95703;13871.26465;14635.68848;14238.26172;14467.16309;14109.4873;14710.88867;14014.77832;14672.99121;13886.41602;14608.30469;14072.8252;14488.625;14143.15918;14466.76367;14920.31738;14668.04004;14541.92676;14651.95605;14445.83887;14594.38574;12803.76465;13694.82422;14373.00977;14913.69434;15193.28809
