HYD_YEAR,Q
2399,6622.66
2400,9361.32
2401,11957.97
2402,5909.71
2403,6239.22
2404,11922.73
2405,3587.9
2406,7630.55
2407,8471.23
2408,3984.05
2409,9105.97
2410,8072.89
2411,8467.73
2412,3817.95
2413,8398.11
2414,6093.81
2415,8540.49
2416,9760.85
2417,7478.61
2418,5714.54
2419,6032.48
2420,7799.39
2421,4733.72
2422,6390.54
2423,4081.85
2424,4995.91
2425,6081.76
2426,5868.56
2427,4195.72
2428,7508.71
2429,5578.92
2430,7722.03
2431,6291.5
2432,5749.08
2433,4710.99
2434,5719.09
2435,9427.12
2436,5743.25
2437,4673.64
2438,5289.43
2439,8780.23
2440,9746.76
2441,8580.36
2442,6005.2
2443,3654.39
2444,5008.57
2445,3171.53
2446,9870.19
2447,7124.22
2448,5018.94
2449,6673.67
2450,6349.31
2451,12568.17
2452,4594.47
2453,5975.58
2454,3633.25
2455,3634.73
2456,8256.98
2457,2235.43
2458,6582.0
2459,5996.99
2460,10699.49
2461,4582.93
2462,3727.17
2463,6964.01
2464,7564.66
2465,5531.48
2466,4392.62
2467,6393.68
2468,7570.71
2469,10225.48
2470,6737.02
2471,10614.51
2472,8798.94
2473,3751.27
2474,7014.77
2475,5119.59
2476,2579.49
2477,4554.42
2478,6758.68
2479,7643.48
2480,5982.73
2481,5840.47
2482,2767.9
2483,4691.2
2484,4559.74
2485,4791.32
2486,3999.51
2487,7161.97
2488,4197.66
2489,3776.35
2490,4300.01
2491,1800.83
2492,3900.79
2493,4032.2
2494,6303.29
2495,6521.12
2496,16741.43
2497,5786.4
2498,9291.14
2499,8451.74
2500,7090.27
2501,4841.74
2502,5882.59
2503,6695.03
2504,8623.95
2505,8404.28
2506,5197.68
2507,6532.76
2508,5333.58
2509,7506.09
2510,6089.33
2511,9388.08
2512,3549.71
2513,4710.42
2514,5271.38
2515,2405.19
2516,4672.93
2517,10030.28
2518,5817.56
2519,5313.76
2520,4517.22
2521,4441.07
2522,8834.12
2523,3804.17
2524,6067.91
2525,5506.06
2526,2974.51
2527,5392.86
2528,4495.43
2529,6132.93
2530,5005.81
2531,4952.22
2532,5090.31
2533,4678.48
2534,8948.42
2535,4832.09
2536,6443.36
2537,4389.42
2538,5211.11
2539,3638.09
2540,2390.12
2541,3393.67
2542,5170.39
2543,5257.04
2544,7877.57
2545,7125.22
2546,6626.56
2547,10022.72
2548,6338.36
2549,9495.83
2550,4817.33
2551,5833.12
2552,5628.24
2553,5959.01
2554,8418.03
2555,9027.92
2556,8065.81
2557,5023.71
2558,6628.9
2559,12440.86
2560,4081.82
2561,4536.96
2562,7064.52
2563,8811.86
2564,5752.62
2565,4469.51
2566,6324.57
2567,5815.91
2568,8797.27
2569,9133.18
2570,3514.04
2571,9536.46
2572,3532.81
2573,8973.74
2574,3328.96
2575,5126.87
2576,4959.1
2577,8349.09
2578,6436.71
2579,5915.81
