      1.0006,    -2.00000e+00,     1.95480e+03,     2.11106e+03,     6.20848e+00,     5.98489e+00,     1.02394e+03,     3.15903e+03
      1.0707,    -1.00000e+00,     3.41028e+03,     3.64210e+03,     6.56795e+00,     5.88435e+00,     2.83149e+03,     4.36834e+03
      1.5820,     0.00000e+00,     5.22042e+03,     5.54788e+03,     7.01392e+00,     6.21870e+00,     4.25868e+03,     6.69092e+03
      3.2489,     1.00000e+00,     6.95823e+03,     7.64976e+03,     8.85631e+00,     6.63084e+00,     5.79005e+03,     9.04215e+03
      7.9003,     2.00000e+00,     8.70718e+03,     9.32995e+03,     7.38626e+00,     6.17933e+00,     7.16091e+03,     1.11446e+04
     20.5897,     3.00000e+00,     1.04040e+04,     1.07540e+04,     6.73789e+00,     6.55180e+00,     8.40029e+03,     1.30427e+04
     55.0997,     4.00000e+00,     1.19273e+04,     1.21113e+04,     5.94216e+00,     6.08286e+00,     9.44041e+03,     1.48454e+04
    148.9137,     5.00000e+00,     1.32235e+04,     1.28543e+04,     4.49148e+00,     5.49587e+00,     1.07930e+04,     1.53764e+04
    403.9290,     6.00000e+00,     1.39051e+04,     1.33243e+04,     5.25224e+00,     6.97041e+00,     1.13545e+04,     1.59385e+04
   1097.1332,     7.00000e+00,     1.43175e+04,     1.46290e+04,     6.66946e+00,     6.01857e+00,     1.19465e+04,     1.70498e+04
   2981.4580,     8.00000e+00,     1.46168e+04,     1.52451e+04,     6.37340e+00,     5.20377e+00,     1.21355e+04,     1.77840e+04
   8103.5839,     9.00000e+00,     1.52661e+04,     1.56896e+04,     4.96947e+00,     4.39641e+00,     1.22082e+04,     1.87696e+04
  22026.9658,     1.00000e+01,     1.57685e+04,     1.59726e+04,     3.58045e+00,     3.27303e+00,     1.26799e+04,     1.89826e+04
  59874.6417,     1.10000e+01,     1.58703e+04,     1.52345e+04,     4.13270e+00,     4.79018e+00,     1.19288e+04,     1.90661e+04
