,rank0001_P20prc,rank0001_P15prc,rank0001_P10prc,rank0001_P05prc,rank0001,rank0002,rank0003,rank0004,rank0005,rank0006,rank0007,rank0008,rank0009,rank0010,rank0011,rank0012,rank0013,rank0014,rank0015,rank0018,rank0020,rank0025,rank0031,rank0034,rank0038,rank0046,rank0050,rank0060,rank0070,rank0080,rank0090,rank0100,rank0150,rank0200,rank0250,rank0300,rank0350,rank0400,rank0450,rank0500,rank0550,rank0600,rank0650,rank0700,rank0750,rank0800,rank0850,rank0900,rank0940,rank1000
scenario00,213.01215989714672,205.17832329740344,196.2720213795337,186.8916086814731,177.71537816723176,182.5878372645669,166.0098783421722,163.25310965881718,166.51389281498635,163.61140249281078,183.92378883481587,190.64329131597253,157.55163817869305,189.51273977442648,174.34298245938612,162.12669476769966,167.17132259177117,140.0352884628464,162.47639320329483,166.06770518029109,162.40618536647946,138.5857414355,206.34885787918105,151.04939549614724,148.26435453055115,144.09754298491052,145.63208373931232,162.2461868302547,164.41882529155507,136.11966407809103,136.18751230842707,146.1319663453592,134.1743383179267,121.88929925771816,126.99286444827818,224.5422760476949,104.45486942684842,127.62922346384033,126.31769358298229,109.26468770656375,123.15242617720348,127.87023967662196,115.31781921087588,123.92100650597578,98.98201719546046,120.06098103028368,203.97278107998585,115.55607227224502,214.0941126925997,84.33319017233468
scenario01,211.64761047500534,204.28880867639475,195.96949121129038,187.15929108734636,178.17770386440083,181.54936475301506,162.4927826105249,160.37317128274879,167.9263505797475,163.61149154425868,183.88595024556352,188.40472510616107,155.25215196340682,188.01151963792353,174.3876463055046,162.13571526705894,167.95594824309873,140.03807133084143,162.47806680824164,166.11917164804356,162.4039938248152,138.58672305649787,199.93070974750657,151.04883047045115,148.26029181208358,144.10080216978633,145.63492268183535,162.25289623982138,164.35418611983454,136.1222562322437,136.18803443554884,146.13558871164176,133.8792845219107,121.36438977201814,126.99514882681365,218.35702978519024,104.45952618078803,127.21749861892144,124.76469315245703,109.2650552738392,122.34548176088191,127.87266860123019,115.32433388666318,122.01721358472332,98.95778352849842,119.59482464554286,198.14511368379107,114.53491199343213,207.49378385197434,84.33433756532116
scenario02,213.06629311017718,205.11849468952096,196.14944318112856,186.8656347965462,177.6793092211253,182.64615395858456,166.62853982331177,163.74800261361133,166.38600222477606,163.61140189460227,183.9219137831024,190.85934212447208,157.82558029340788,189.6160779900859,174.34257069693058,162.12668567293926,167.13719270546926,140.03528924006955,162.4763761135989,166.0673059053982,162.40618530455816,138.5857413377668,212.53120498864095,151.04939542013236,148.26435471435119,144.09754326462416,145.63208467432645,162.24618678093256,164.42052110340194,136.11966538377075,136.18751289579146,146.1319661811524,134.17457980329328,121.9174584175142,126.99286547703981,230.7658484841578,104.45487190136573,127.64964159211699,126.47055033531137,109.26468571490302,123.23159786405549,127.87023814993182,115.31781932700589,124.06195107696202,98.9824930746847,120.08992400651258,209.88575545270498,115.61057640870742,220.47187365896673,84.33319062935897
scenario03,213.06827686596856,204.83913729676794,196.16307450351582,186.78653186939943,177.6591224929542,182.66776735943085,166.87252965503924,163.9451837999936,166.34021738615786,163.61140163367676,183.92124753493133,190.93708955246296,157.92765945978567,189.65293381661365,174.3424496024649,162.12667627293877,167.1099341754283,140.0352895797228,162.47637606204927,166.06722778093294,162.4061852789737,138.58574129604014,217.7533929544909,151.0493953897992,148.26435478226733,144.09754337664737,145.63208502971122,162.24618675341492,164.42107671905308,136.11966589617919,136.1875131208913,146.13196611902615,134.17530172859662,121.9285170853974,126.99286586566163,236.39878978643696,104.45487171911202,127.65692374456957,126.53096380429423,109.26468492745794,123.26050390510865,127.87023756892957,115.31781937138443,124.10445482131018,98.9826180779349,120.10035932141595,214.55314260254332,115.62929198542592,226.30823239043016,84.33319080225422
scenario04,212.9837781544735,205.06616315653798,196.27627015031155,186.90383605135142,177.7065992013206,182.59430290712825,166.01353259279804,163.2933839304813,166.51388842109236,163.61140254054715,183.92378884072568,190.64329131607553,157.5550446294302,189.51273977481117,174.3429818795226,162.1266947682366,167.1713225930703,140.0352884473685,162.4763932033219,166.06770518320155,162.40618536684852,138.58574143747674,202.5614447608738,151.0493954962255,148.26435453133934,144.09754298513502,145.6320837394168,162.24618683026245,164.41882529192554,136.11966407825597,136.18751230851774,146.13196634534083,134.1743383179267,121.88929925783476,126.99286444869665,216.70570570418647,104.4548694271299,127.62922346382098,126.31769358298229,109.26468770762531,123.15242617720348,127.87023967662196,115.31781921087588,123.92100650597578,98.98201719795675,120.06098103028368,200.80858107787716,115.55607227224502,206.65729780669645,84.33319017233468
scenario05,212.98578559254955,205.07810666095827,196.27839852591373,186.9110886542018,177.71817083634107,182.5875554404157,166.0039479004279,163.24442398884747,166.51388841913987,163.61140251817326,183.92378883790997,190.64329131602778,157.55704330274256,189.51273977463225,174.34298159814824,162.1266947679764,167.17132259244102,140.03528845674606,162.47639320331973,166.0677051817989,162.4061853666656,138.58574143651083,203.88576547909344,151.04939549620664,148.2643545309566,144.09754298500746,145.63208373937962,162.2461868302697,164.41882529173037,136.11966407817525,136.18751230846757,146.1319663453533,134.1743383179491,121.8892992578259,126.99286444848703,219.56679567791696,104.45486942682062,127.62922346384019,126.31769358297053,109.26468770691837,123.15242617717846,127.87023967739907,115.31781921085195,123.92100650593218,98.98201719673285,120.06098103039213,202.14075934839016,115.55607227231732,209.22021936534722,84.33319017244122
scenario06,210.9317360417259,203.40729338352915,194.37604083802913,185.22735656876043,176.42529955328357,179.32593256023011,159.46333996314692,157.81533003916752,166.70193487853973,162.00948425555364,176.55987841185154,184.08752268658657,150.0993138893092,181.25034893401826,166.2638948284856,155.5231767334022,166.47585872437156,136.43201559017348,160.4794321169352,165.40831566316416,162.06624320879365,137.732546163088,193.38073885481666,150.14529563254328,150.93616513772878,141.3263680863464,140.47093400722576,154.56915940704476,155.5168570977507,132.9805800515583,135.3229094797096,140.58811993527348,130.37942451735108,112.71044068731062,124.23098354719642,212.5655912258001,101.51197106533075,117.65059690547278,115.69222585714154,108.65144546783009,113.41340922970427,124.69998532505011,107.70064070989478,116.80802999283982,90.34596318103142,110.02172198833244,193.17397503659814,109.99284127755266,202.38792247065075,83.13610010899174
scenario07,213.0760215164887,204.88550562200768,196.10754186178872,186.74693546649914,177.66305829958137,182.67050388642227,166.97991689534985,163.99982755777145,166.32862958047022,163.6114016680907,183.92067585625176,190.96244414990488,157.95766076924997,189.6620669228646,174.34236994659727,162.12667621686236,167.1014408638579,140.03528951609565,162.47637607799473,166.06717694383335,162.40618528626763,138.5857413060619,226.23917758269968,151.04939539903435,148.2643547598536,144.0975433390311,145.63208491969453,162.24618676515473,164.42131763079664,136.11966574237832,136.18751305067224,146.13196613819596,134.1737942149432,121.92904673113678,126.99286574466353,247.2898585724106,104.45487178231073,127.6579302125844,126.54873792743375,109.26468517147151,123.26456023902126,127.87023774989034,115.3178193575997,124.11236040500395,98.98261749353998,120.10077087912325,220.05130487322944,115.62984055250254,237.70889951194016,84.33319074898422
scenario08,212.61665655854225,204.17230292772234,195.0289905798453,185.746231459598,176.6334068669455,184.74138781761374,173.16504992754335,168.84167590457875,165.15611315991276,163.62205305042912,186.35809080063456,194.78298698777945,162.84551469732722,193.92573969305084,176.2047389850759,164.03537286489953,166.5826811110349,141.5444267928505,161.6584144354369,166.37751344459173,160.97759875224548,139.14777971616198,268.0366305407556,150.6042481409391,147.6458434501817,145.00203060626365,146.5599532988157,164.61195056408653,167.81728526368613,137.8410055846211,136.71690615815564,148.0214104200697,135.277369385623,126.82862271380316,128.2962649579763,289.04699239805154,106.7974188326192,132.60025555750764,132.3740795835502,109.61189424680177,128.80963327208678,129.12439613675366,117.78669853845162,128.01115246482635,103.00885774286527,125.06932677529488,254.3796668616643,118.53606610891659,281.5148292513104,85.92943281244725
