,rank0001_P20prc,rank0001_P15prc,rank0001_P10prc,rank0001_P05prc,rank0001,rank0002,rank0003,rank0004,rank0005,rank0006,rank0007,rank0008,rank0009,rank0010,rank0011,rank0012,rank0013,rank0014,rank0015,rank0018,rank0020,rank0025,rank0031,rank0034,rank0038,rank0046,rank0050,rank0060,rank0070,rank0080,rank0090,rank0100,rank0150,rank0200,rank0250,rank0300,rank0350,rank0400,rank0450,rank0500,rank0550,rank0600,rank0650,rank0700,rank0750,rank0800,rank0850,rank0900,rank0940,rank1000
scenario00,856.4678194176663,820.9196490687109,784.1584894207914,745.5148146594036,704.8398549100898,634.6239632657525,604.2922509319603,585.7351679335261,584.4005896931476,579.3186678652701,578.0796370354424,573.3796008175759,559.1736618977857,557.4345801526563,556.6833032899314,555.2413358986521,553.9086497208032,552.9519468960231,552.526963245511,550.0299743321025,544.5024026030894,527.1669533043508,516.2222436574154,512.4683621557131,508.75986381592554,505.32096004855447,503.2811410812286,496.5240478596319,483.47137677534295,478.6986927447734,475.03924907541176,468.86697925924875,453.06619989713937,443.7903728047008,433.36512072350536,424.0147295192304,416.51104471210533,410.4885865158659,404.89953531085166,401.3272205332198,396.86374405107586,393.9097050812327,390.79098287641324,387.0788480161614,381.91690214563084,379.36367988598204,377.04015553937154,374.3624454141891,372.5830598875113,370.33833318008175
scenario01,845.4903190308247,810.8420581787863,775.66557530524,739.9099455976102,702.8012200002453,632.3039489260118,598.8022712096924,580.5636026243876,581.7183928997322,576.8566807129878,575.7431096018944,569.0678838136527,554.9025818887412,553.7780389019179,554.9480895000336,551.8852723726852,551.5856972273577,550.7923178982712,549.8974196655217,547.2548731998812,541.3207831153696,524.1908844500012,509.5367583165379,509.6624874310502,506.10362560886074,503.88670462058303,500.5774111469326,493.9101312080952,480.02948197385945,475.92434734047026,472.1211774676285,466.16802124948146,450.046318094883,442.2459549331853,430.9352025495669,416.6881522033657,414.8783993801313,408.0721446087661,403.0450198799218,398.9955126369429,394.6104430816538,391.76468198684506,389.39929753464924,386.27422000312754,379.84091336797394,377.64573503472116,373.62900394361543,372.90463020420316,366.94510647626225,368.3385027844432
scenario02,862.2199839651408,823.5208591765247,785.709049318607,746.9186822346211,706.867811059858,637.3386744523641,607.8418162208732,588.9999687199145,587.272540548418,582.3846064768495,580.715877357512,576.5919221902295,562.3417193876992,560.3660497065499,558.5961581846723,558.2492680993532,556.5777708665307,555.9392945370003,555.2939107976504,552.726160931672,546.5939446867602,530.0094821484042,519.3528117223605,515.2532290942837,511.6664615112808,508.79534660861435,506.0823134932443,498.9909588093981,485.8594407849847,480.9989687540989,477.5912124056108,471.24681032182264,454.4845995225201,444.62024508657635,435.4282035809226,428.0202594956496,417.92455201692115,411.8201966015155,405.6193682369387,403.4455099347741,397.3705381610148,395.16580239016946,391.2952362092253,387.23479715645465,383.25685674944384,380.1050445016394,380.23802181936856,375.1673089771641,376.44163156907905,371.186067752972
scenario03,867.074984941172,825.6319089165479,787.9439338689674,749.2592798872539,709.2395103163948,639.59825831798,609.963481951409,591.04063757843,588.9695110209498,584.4165799162456,582.3156695574202,578.3711187553145,564.2786104299885,561.9301268769086,559.5787533996653,559.9167006168343,558.1074913325083,557.5665216857018,556.6226915629754,554.2987350294881,548.1663061956065,531.5609311029219,521.6055736012052,516.6685114333258,513.1909101039716,510.2221744538808,507.5407626072425,498.57920163476297,486.9355614727182,481.93905217689655,478.785514841937,472.33790650563526,455.03257260929047,444.8952985193856,436.42222687088895,431.53577374530875,418.48088503441227,412.3579536213582,405.8863688588317,404.5269731896029,397.547846435509,395.64981992444336,391.48306841596207,387.2868051522942,383.79446512237894,380.3877906943596,382.75334570540076,375.4774572708669,379.955698655907,371.49642796936735
scenario04,846.6724138611385,812.4148631803153,776.866064333268,739.3858869963581,699.8530748096595,630.648764095336,602.5449691763519,583.8735489475746,583.1409521698984,577.3064291326652,576.7972842773769,572.2344988475427,557.5977351588326,556.5184545403529,556.0634813938481,554.1567130355211,552.9478528884522,549.7203224376236,551.7379867754662,548.9370397504633,543.4265866758938,526.1489764246502,514.2929638791934,511.766770310698,508.10072060197024,506.23714846647425,502.5515300229522,495.9515618492252,482.7065885294272,478.5557221027087,474.57707167204524,468.5718641737549,453.04065115685023,443.7795432538451,432.98638924542075,419.71673392294616,416.46392023391456,410.46282054736366,404.89953531085166,400.8089285810363,396.86374405107586,393.90578475878897,390.79098287641324,387.0788480161614,381.88023140707907,379.36367988598204,375.33982675804543,374.3624454141891,367.98110996829496,370.33833318008175
scenario05,849.2200429699587,814.903138534849,779.1655643151906,741.4675479977416,701.717801398882,632.1532957334414,603.3320091760702,584.709749586546,583.697761716217,578.2028524371353,577.3571644371158,572.7599517526833,558.3077828374514,556.9241527224311,556.3648021923985,554.6871691654898,553.3697693880301,550.9465452245167,551.9653696637063,549.4316820889401,543.8315437440741,526.6260859037272,515.0890296599595,512.0970135338057,508.40593492164726,504.89019454839945,502.883793449266,496.21917643860814,483.0590421672173,478.62318666502955,474.79065227802573,468.70946680930194,453.0507605353573,443.7848898714912,433.16356284206836,421.1442590164225,416.48688709323835,410.4754223381604,404.8995353108535,401.0520142276348,396.863744051073,393.90770409072434,390.7909828764195,387.07884806456553,381.89810873497197,379.36367988598795,376.03998784167874,374.3624454141958,369.6936636474811,370.33833318008476
scenario06,838.5350786624224,802.2678404735063,766.1253884678069,728.6938432974125,690.2445607156164,618.6523379765808,584.4222876839085,566.2247398053478,567.877080732723,562.901602984892,558.8504615512074,554.4591504004975,541.6937172360359,539.066407382966,538.7438380258583,536.4655861125016,537.6100687129083,540.0012407206858,535.9309441313304,536.4960436007334,530.4430557830896,511.742154838902,504.5063884458651,499.34261078313466,497.64370606768546,494.05286584812814,490.5085062699786,489.9026456362117,474.8680403611735,466.08584813428547,463.9742772177973,457.6951277711892,445.03008167492635,436.07716766870624,423.2539678324155,407.9450840700396,410.53134992602224,399.24708268099386,398.3084342687669,392.69529760809814,388.53701476250023,385.30935835798147,379.85027899297904,379.67125739684235,372.5448032251377,368.0663334328003,364.3796407860751,363.6520504766574,360.25957904373814,367.0089711135573
scenario07,873.8673143064665,831.7737955041566,793.1489684209921,753.3409910948161,712.3704250287972,641.8157488806739,610.8656574612696,591.9693285859278,589.6130283788132,585.43249728258,583.05119323348,578.986769948826,565.0198416241095,562.3586214577697,559.943909559533,560.355332494275,558.555964496499,559.2128815150398,556.9950702029894,554.7955327772609,548.5077531892164,531.9879523625458,524.596991300381,516.9766593831563,513.5109378837801,510.41209113587786,507.83334463793443,498.7765375398885,486.6677673150894,481.89815491067617,478.92670315514334,472.37171106214197,454.9207887942837,444.844557112236,436.51404884088396,437.3473080826343,418.35952217241527,412.2465639466569,405.814986422768,404.63545817983754,397.5186137894709,395.53716277208457,391.42873560759836,387.27270131100283,383.68720590631074,380.3049931548766,385.40356399867034,375.3828108209375,386.2626035557873,371.4088708432019
scenario08,902.0400419080115,861.1204811022208,816.2487554168569,774.1081880080558,730.817065447533,656.3318038872985,625.3976230985324,606.0040874529989,600.6509374906955,596.599640947154,598.067578800559,591.1295783860714,575.8665289655734,572.7056988056618,572.0128842198972,570.2239363367717,568.3218784578257,568.112098823558,567.4172636155708,561.5352968927267,557.1006759689583,540.0054352992968,545.6510154766917,525.3165302095344,522.5463448180514,516.4218022654574,513.340506789771,503.4415995640807,492.25375060479877,487.4197963315056,484.62328860261056,477.08267291212957,458.08114081383667,449.52323326998334,442.6341367389032,468.41837391690274,420.63801150738533,417.28987521987136,409.6059779419712,408.498420830469,400.4523644637176,398.7924189279121,395.37921778368764,388.79385289257425,388.02317569336526,384.2069264017118,404.1403679603126,379.0670243764754,413.81682367740666,372.6885218339935
