,rank0001_P20prc,rank0001_P15prc,rank0001_P10prc,rank0001_P05prc,rank0001,rank0002,rank0003,rank0004,rank0005,rank0006,rank0007,rank0008,rank0009,rank0010,rank0011,rank0012,rank0013,rank0014,rank0015,rank0018,rank0020,rank0025,rank0031,rank0034,rank0038,rank0046,rank0050,rank0060,rank0070,rank0080,rank0090,rank0100,rank0150,rank0200,rank0250,rank0300,rank0350,rank0400,rank0450,rank0500,rank0550,rank0600,rank0650,rank0700,rank0750,rank0800,rank0850,rank0900,rank0940,rank1000
scenario00,631.847880449538,605.1997714825349,577.3732413752563,548.1782645456481,517.6657875072585,474.38794903581925,437.5602578596508,433.26164624168575,429.15380154065167,424.1333455911305,425.67157408736887,424.1442574168681,410.58596676779933,412.82409047900427,408.5256929574874,404.15183599541234,401.52274414863246,402.2226334423815,393.71807002139525,402.00278398102967,386.64359942370214,384.36666105823394,398.7895519430919,377.6545297910667,377.73432662433214,369.8730100078185,364.5353228527949,370.2327464054219,366.51643951153096,344.3260240821512,353.1480573066016,347.49265859917267,341.2205628308846,331.28069245667865,325.52490100657684,350.8800941976254,306.70271479553054,305.90966268460244,309.1911488416157,300.4699369431134,290.23124755956724,286.4816040924837,285.211512293457,282.36103463498733,282.8383494515447,285.8161855434238,306.23104229291005,284.8583766782948,335.04678373596107,260.12028610371135
scenario01,626.7166227465066,599.1464021298038,570.814637826278,541.882110400343,512.5353583065216,470.32250514261347,431.8047072302345,427.5689374581335,426.2632057428581,421.4915166177823,423.1339197954361,419.54928299059486,405.80577053904847,408.9565400119071,406.6321734458794,400.55834726959057,399.04553127720254,399.6507369985885,390.3694775013164,399.03009522034904,383.39458442922285,381.9256917251793,394.1831333222817,374.93157338751615,374.56653093503184,368.67337122450976,361.8206294354818,367.614299675928,362.7367803621295,341.4510927133948,350.17274266975846,344.8140105096256,338.18033498328737,329.3775483591255,322.8765258776724,345.26163050575036,305.30319729513553,302.9344159452636,306.6280937926889,298.2174633442417,287.7581999490697,284.1798596839544,283.7346776402059,282.07593658854364,280.76518430557314,283.6419306038587,302.765819961372,283.03003162266083,328.4940579891071,258.13384691549606
scenario02,638.7287620149064,608.9222442235911,581.336844737644,552.2165416799937,521.2551155769877,477.68091777186163,441.4137847646831,436.8209894253673,432.2768852272849,427.4554527515604,428.69572190041856,427.58133755752624,413.9894831294191,415.9724629328552,410.806593562418,407.35776422697177,404.4877140094168,405.2536414603268,396.54034607777066,404.9550003933647,388.2345829757977,387.0911492527628,401.25714585828143,381.13924115279104,381.05644931182,373.79452540851184,367.4510013452922,372.70389219247505,368.96880573570763,346.6957914431711,355.6971175178489,349.9296963130749,342.73271584364454,332.2270107369339,327.8562778482674,354.7237089672505,308.2507963764638,307.47135726758876,310.0268871400927,302.6938153724707,290.7569097697311,287.86428811443403,285.74132623532546,282.48108964665084,284.3731501054543,286.6840260678144,309.67004691681905,285.8522204465042,339.5283518214468,260.96250392627655
scenario03,645.6709704197023,612.4261197415836,584.9081078841134,555.4057145361061,524.2057474679063,480.29457167034525,443.76393068263644,439.0556354828336,434.1899083863998,429.66777646151627,430.5332794401886,429.6471650937366,416.1242269667762,417.6888900299204,412.0040362604976,409.1802956462592,406.22762151574216,405.5436186017679,397.1590035266666,406.7303385398691,390.3487141266885,388.6676949846771,403.10423226940776,382.33231912577116,382.9941306921768,375.26038555107107,368.96142691755955,372.11728066887065,369.972788716436,347.6654426640945,356.9328921183271,350.9911812487451,343.33308968485585,332.558083343362,328.9886511752488,358.29702054536756,308.88963042317073,308.09706533991834,310.33951432867883,303.8478257009339,290.9403586559895,288.39965530499796,285.93695391786343,282.51377993871563,284.99871417427363,287.01122107734744,312.52579328103803,286.23510105527,343.6149371476183,261.2659777006421
scenario04,620.9723698855403,595.4747182671521,568.8856412485285,540.8814784876165,511.7008842669228,469.68823459162184,435.52763920555935,431.08736158664203,427.6303414968912,421.8324531365528,424.2183049176245,422.8204169723725,408.7668035866367,411.72721698982826,407.78433933718054,402.93634518573106,400.3587621927774,398.14506005480905,392.6565648448316,400.7406113296609,385.473690603653,383.2320468690849,396.57559460093506,377.5546531868116,376.98181966671416,371.03948319866754,363.72810176060284,369.60043578006156,365.65855301963495,344.16877989962785,352.6066222787927,347.1416354226541,341.1837108292237,331.2672021374589,325.02791517137337,345.7150871472644,306.6170258945219,305.87575023444936,309.1911488416157,299.8536183038623,290.23124755956724,286.4768779302786,285.211512293457,282.36103463498733,282.78837331606576,285.8161855434238,304.1291114706918,284.8583766782948,329.6439158218965,260.12028610371135
scenario05,623.5892759825529,598.1723449893518,571.4669461136784,543.2870755613521,513.9023106919929,471.44086111590263,436.4834237947915,432.0802573011935,428.2506974759697,422.86543060963334,424.80968336692774,423.36534806788245,409.5887502609168,412.1923104351306,408.14403686787375,403.5612317879551,400.8713122091335,399.56168141253596,392.1849811074569,401.282747346269,385.9375155674297,383.6941306112752,397.52407519121334,377.93180389500117,377.33183422367415,369.248857331338,364.09354077423393,369.89524974977405,366.05139446168994,344.23977571311565,352.86142926169254,347.3071201106897,341.1967402859744,331.2738622139902,325.2610215750027,347.4881053131471,306.6588202222606,305.89234456910947,309.19114884161763,300.1438955741113,290.23124755956724,286.4791935943511,285.2115122934568,282.3610346376672,282.81277747104605,285.81618554343396,305.0198475265662,284.85837667829725,331.6273132461547,260.1202861037195
scenario06,625.7073362561148,596.8840211878044,568.2909700730639,538.4637154700348,507.87346466749193,464.4228382526027,427.2547874562623,421.8345428671879,420.9876255544979,415.22504982544865,414.78364070894816,411.53119653453507,399.11328652294713,400.3434275310111,398.1889972593979,392.6363693536731,393.63641369515824,396.2912370509538,386.7388726853218,393.33100700060095,381.5201873008581,376.7434766101117,386.96842408852257,369.39816081430723,371.7351487460402,361.2989452729729,352.9756544579495,362.4821147676833,357.67955506578403,332.5269330496795,340.5420416552069,335.54258063817355,333.3886726970318,324.80705070772,316.1559003475245,335.9568801357367,303.84652592727673,296.5821716460817,302.4033272104943,294.5843056563358,281.47081717076367,278.57463150622897,275.3503787029013,277.75326522570856,274.87815127935846,276.15295820094934,294.8866353024288,276.7565821615467,321.03495251869396,259.8481519417958
scenario07,652.0888825005176,618.6306554485649,590.3126978864004,559.8962254146082,527.7920967706583,482.8984028063859,444.8110232729672,440.1596861002711,434.93556492682626,430.8181971410909,431.3780314740783,430.3025955384111,416.96376505101404,418.17108271341954,412.4343291038561,409.62091751943734,406.7730165524623,407.7070886276455,397.6080635185772,407.2893963283085,390.67064663939345,389.1063315609473,405.4933936359841,382.95193943642033,383.2874566135738,375.4599256213269,369.2822255735082,372.3311410589702,369.34670088678024,347.6121446715633,356.9990146400668,351.0366028106936,343.21293601985985,332.4924297487567,329.10422074477935,364.18148633421265,308.77036645520764,307.96925900720953,310.2606668019214,303.965439651244,290.91420417433727,288.2760262998773,285.8795516097037,282.4987421339627,284.8744096544167,286.9175646424282,315.4267892704323,286.1189059638623,351.22162921542446,261.1801477453329
scenario08,666.5878817852333,638.1326664318294,603.1239057289899,571.9689054660101,538.8210707215977,493.3561576156017,454.2522076968108,450.1980693091676,441.9903997179004,439.2805628692022,442.046346987819,440.40775454931816,426.1245931276807,427.0958143848774,421.0294166154081,416.9576205544034,412.6923054920287,413.5512401285339,403.76724267335345,414.4562166007999,394.229078302223,394.9049666248161,422.99552270663844,388.39710955739935,387.97888056758666,379.51050530421463,375.1638259217285,375.6240383161824,373.8177401646983,353.72047984519236,362.75296452232567,355.5035327249044,345.72850319839074,335.9080651972686,333.43243369568785,394.99756661495843,309.86374660093463,311.50081072541127,312.33754167351833,306.1776000536431,293.7881880275028,291.4399636675512,288.7276143714185,283.399713750831,287.6254582892959,289.9301207396953,336.87343573156306,288.5120235119971,383.8850013639525,261.6778959655178
