,rank0001_P20prc,rank0001_P15prc,rank0001_P10prc,rank0001_P05prc,rank0001,rank0002,rank0003,rank0004,rank0005,rank0006,rank0007,rank0008,rank0009,rank0010,rank0011,rank0012,rank0013,rank0014,rank0015,rank0018,rank0020,rank0025,rank0031,rank0034,rank0038,rank0046,rank0050,rank0060,rank0070,rank0080,rank0090,rank0100,rank0150,rank0200,rank0250,rank0300,rank0350,rank0400,rank0450,rank0500,rank0550,rank0600,rank0650,rank0700,rank0750,rank0800,rank0850,rank0900,rank0940,rank1000
scenario00,411.17534258214914,396.98511186336714,381.0878829718802,363.66400544587106,345.20307661766856,334.16566519936873,318.9520314336257,318.557966436007,312.8497668384732,302.4501594337562,321.5747747315426,327.9680606059032,296.975677980686,325.7127182961789,307.9655960599893,296.40811490778725,293.31022222814073,264.238810540707,291.21279731888546,298.47330228184956,282.79480724916806,274.60338003534605,378.50105919051106,282.728658653965,272.7801669452162,270.46274577671676,265.36103155794063,276.09391023689403,282.2528464080375,248.0779132174969,252.3324461465259,250.5076312460167,245.8770109665005,234.53288208219686,233.78605258789187,358.7903417361215,202.22761033137954,223.2996487712579,231.91714824614513,195.25036352932392,222.4500142930419,208.6556598587992,217.42970416604985,212.90832763773497,189.44827447572047,207.935292298261,314.3274310651544,204.97416532811204,345.9159170409475,171.25202411518322
scenario01,409.0023842808449,392.75713675403233,375.4541905545926,358.50244739396067,341.688256701726,330.8521316610749,312.74596485388633,313.5255739596216,311.61804010363926,302.4536716133912,320.2328262021847,323.98882345684495,294.39561252810535,322.24527974060885,307.6896620641966,295.79973010445997,293.830616774736,264.24115281083647,291.1956478737989,298.2718820701877,282.8006232199492,274.5963398587931,369.32655131284133,282.72316605527675,272.78125156894754,270.4634163502495,265.37450075678584,276.1060540487199,281.8390406387869,248.0685021242833,252.3375020673107,250.51785848604956,245.33815488194048,234.24342334983265,233.79319075229932,349.80160721061515,202.22968083148848,222.7891708803825,231.16941580293525,195.25378771880327,221.79320541432597,208.66047138926973,217.43790632036712,211.33636672858924,189.44363836698852,207.51731672037124,309.76439287353975,204.2982909116467,337.44782936864607,171.2550518036763
scenario02,417.01247032386084,396.6691884249968,381.7311370385709,364.165383380465,345.4356080022544,334.35063600503753,319.84815315988743,319.219511485108,312.83647213847416,302.44354017647026,321.62263559700864,328.2383871725384,297.3416366313812,325.89400710519334,307.9683695853586,296.4186117023105,293.2743237003261,264.24430711705565,291.2070835744494,298.4750461143568,282.79135991330423,274.6010870566144,385.1582563378741,282.72882616184586,272.7856867631118,270.46238045098914,265.35995929382614,276.0928244886523,282.2714766283931,248.07781040206075,252.33368610457416,250.50689862110397,245.90115996512603,234.54904694246693,233.78550129245286,364.1052639459961,202.2274180586977,223.33544475738964,231.96946251377437,195.25028482098358,222.51368839747025,208.65565444775677,217.4295645253706,213.0234734432931,189.4484149929171,207.96449472294083,319.10164349692275,205.01158210967304,351.04420444878775,171.2520413787027
scenario03,421.3082801225686,396.62413312445585,381.89646586427955,364.3529269479342,345.5131576417707,334.4176824202181,320.22440857298477,319.47184963054167,312.8332325123517,302.4429889636786,321.6308960859126,328.33634389558455,297.48595303988105,325.9651402267758,307.96852424244014,296.4218665699192,293.25071497790526,264.2502018690309,291.20766653791503,298.4705860148824,282.79033093879167,274.60015865848993,389.94670508332547,282.7250551976352,272.78430053556446,270.466344036843,265.3594836056596,276.10102326598525,282.2770098723997,248.07745212403339,252.33114544748523,250.50656012301698,245.91046213257374,234.55475619416646,233.7852033753137,369.12687500007087,202.227337516227,223.3484559304789,231.98906861035863,195.25021340668187,222.53712327320483,208.65565019943463,217.42951112016502,213.05935827976944,189.44843919727455,207.97507381646605,322.80160040609945,205.0245932155352,355.8056990506815,171.2520478742196
scenario04,411.18443690328246,397.02506249560236,381.1136916882532,363.6789756643832,345.2146060879216,334.16694853658583,318.9428580143613,318.55781811768804,312.8458365422753,302.4414070275285,321.56728197229717,327.94022133598844,296.9862187833216,325.71701931079656,307.9659762465104,296.4102710582053,293.310264244048,264.232699966469,291.21239832903433,298.4728273103541,282.792010983003,274.60469643516063,374.45076262389904,282.7288246662303,272.7805301371032,270.46283526158015,265.3612205354731,276.0939498840805,282.25322165153244,248.0780020994112,252.33273219563046,250.50769491805477,245.87701397197497,234.53289125240892,233.78617734479764,352.27397350956926,202.22761488959566,223.29965234172724,231.91714824614513,195.2504241748029,222.4500142930419,208.65565985879823,217.42970416604985,212.90832763773497,189.44828261261418,207.935292298261,311.9017241088298,204.97416532811204,340.0944182094704,171.25202411518322
scenario05,411.19263521802094,397.01897127687454,381.09904465950257,363.6666706418538,345.2084977431369,334.1651889359219,318.94101083351035,318.5573648004105,312.8469246043386,302.45032917350386,321.57772144513797,327.96529291538747,296.98669055958294,325.72170638234394,307.9664768330381,296.41071377156834,293.30969242814257,264.2314793876084,291.21535526737006,298.4737549596637,282.7952789964899,274.60335260698486,376.0167538235212,282.729090204631,272.78045433712214,270.4628447927176,265.36160716796525,276.0946446586275,282.25573161848655,248.07795763029998,252.33264000483317,250.5076644508611,245.8770122984967,234.5328867405985,233.78609435642758,354.66983317849406,202.22761267092568,223.29965058762414,231.9171482461461,195.25039578745472,222.4500142930393,208.65565985878428,217.42970416604223,212.90832763774384,189.4482786560111,207.93529229827524,312.922657471963,204.97416532812076,342.18991736016403,171.25202411517205
scenario06,408.3616010535095,391.01132224048087,373.75089261725395,355.51628730151043,336.97918129427876,322.8232635923961,305.6019683837298,306.06685055978323,303.2455169456032,292.00983817246157,306.2628408100232,313.05669308602006,283.3058693060463,309.7555322184244,293.0997928724367,281.6412045777328,284.3312590406855,251.89478893464087,281.95601964949435,288.3939884177622,273.7347895003156,262.2045905623763,362.93785506113073,272.03705735223525,263.6267134704724,257.2631015419746,251.7788666156703,261.41409110834434,267.84660111330777,237.22855785454226,240.87670362408025,237.59206352318125,239.72522766084302,225.17266995066936,223.64071770068549,342.15195759098145,199.45169592778157,211.977242988734,222.1365703490142,188.18618812430134,211.83055738655918,200.32520113046377,207.59295461808955,205.37163322868412,180.46748783502176,198.07594510393113,300.2150750081616,198.5691539510816,329.62703970172913,166.3768264807193
scenario07,417.96123977159334,395.947998188261,381.9446899362204,364.4571766704685,345.5500572861573,334.4393737386257,320.3096139308321,319.5434581058217,312.8365445663814,302.44574110149887,321.6230302429647,328.36936311221297,297.5292664421298,325.98839142806565,307.96498760756236,296.42263269739067,293.24409023590493,264.2503644268733,291.2080180865708,298.4723717824107,282.78991357127677,274.599650745027,396.61520807019286,282.72415000924025,272.7839265226995,270.4621424146667,265.35958075112796,276.1009649458095,282.27938290115065,248.0775075668052,252.3311254084924,250.50659544317227,245.90958121961782,234.55508513871808,233.78515341935446,378.58929439845025,202.2273557431235,223.35089328254543,231.99302026827348,195.2501788650884,222.54083856775637,208.6556513863856,217.4295278595164,213.06640858763365,189.44843331424067,207.9757098877211,327.0833442678431,205.0250407337856,365.21234001593933,171.2520458609984
scenario08,430.44918763934743,414.34190633180697,389.5799750143376,372.75317644536767,353.7321731314466,344.19546015177195,331.31832086604754,329.23415968623596,320.1786664797221,309.7197425361391,331.87728742723505,340.12849399358737,307.2976110751544,337.8589619992207,317.1776532185655,305.5719266225554,298.4288603709009,268.6427150098646,297.86761892560054,306.26091462399387,286.8357696427987,280.6222522756488,436.7578421861492,289.2172436616756,278.09425905855653,276.8154305084761,271.9485031936548,282.7377751672953,289.76670851471,251.3476300119248,257.2259642819253,254.3947257702616,247.44125405971877,237.6603724440677,236.92681369239835,419.56103738508966,202.7531104625025,227.5606541359476,234.23869102955817,197.10229198947007,226.07909322883233,210.7102710820879,220.6891820642759,216.8518205712313,191.28458887682743,210.54971275504377,354.26143292026336,207.32988353388907,407.52720332255694,172.31376792783198
